64,LAKE CLAIRE BUILDING 64,LC64,"12574 Gemini Blvd. N., Orlando, FL 32816"
65,LAKE CLAIRE BUILDING 65,LC65,"12580 Gemini Blvd. N., Orlando, FL 32816"
66,LAKE CLAIRE BUILDING 66,LC66,"12538 Gemini Blvd. N., Orlando, FL 32816"
67,LAKE CLAIRE BUILDING 67,LC67,"12532 Gemini Blvd. N., Orlando, FL 32816"
68,LAKE CLAIRE BUILDING 68,LC68,"12526 Gemini Blvd. N., Orlando, FL 32816"
69,LAKE CLAIRE BUILDING 69,LC69,"12520 Gemini Blvd. N., Orlando, FL 32816"
70,LAKE CLAIRE BUILDING 70,LC70,"12544 Gemini Blvd. N., Orlando, FL 32816"
71,BARBARA YING CENTER ,BYC,"12815 Scholarship Dr., Orlando, FL 32816"
73,HOUSING ADMINISTRATION BUILDING,HAB,"12851 Gemini Blvd. S., Orlando, FL 32816"
74,ROBINSON OBSERVATORY,OBSV,"12727 Ara Dr., Orlando, FL 32816"
75,NICHOLSON SCHOOL OF COMMUNICATION AND MEDIA,NSCM,"12405 Aquarius Agora Dr., Orlando, FL 32816"
76,ENGINE RESEARCH LAB,ERL,"12741 Ara Dr., Orlando, FL 32816"
77,WAYNE DENSCH SPORTS CENTER,WDSC,"4180 N. Orion Blvd., Orlando, FL 32816"
78,PARKING GARAGE I,PG1,"4277 Gemini Blvd. W., Orlando, FL 32816"
79,CLASSROOM BUILDING I,CB1,"12601 Aquarius Agora Dr., Orlando, FL 32816"
80,HEALTH & PUBLIC AFFAIRS I ,HPA1,"12805 Pegasus Dr., Orlando, FL 32816"
81,BARBARA YING CENTER - CMMS,CMMS,"12701 Scholarship Dr., Orlando, FL 32816"
82,JOHN EULIANO PARK BASEBALL FIELD - STADIUM (formerly JAY BERGMAN FIELD),JEP,"4422 Knights Victory Way, Orlando, FL 32816"
83,PARKING GARAGE C,PGC,"12998 Gemini Blvd. E., Orlando, FL 32816"
84,SUMTER HALL,SUM,"4016 Libra Dr., Orlando, FL 32816"
85,CITRUS HALL,CIT,"4024 Libra Dr., Orlando, FL 32816"
86,FLAGLER HALL,FLA,"4000 Libra Dr., Orlando, FL 32816"
87,COLLEGE OF ARTS & HUMANITIES,CAH,"12421 Aquarius Agora Dr., Orlando, FL 32816"
88,RECREATION & WELLNESS CENTER,RWC,"12800 Gemini Blvd. S., Orlando, FL 32816"
89,PARKING GARAGE  B       ,PGB,"4799 Hydra Ln., Orlando, FL 32816"
90,HEALTH & PUBLIC AFFAIRS II,HPA2,"4364 Scorpius St., Orlando, FL 32816"
91,ENGINEERING II,ENG2,"12800 Pegasus Dr., Orlando, FL 32816"
92,BIOLOGY FIELD RESEARCH CENTER,BFRC,"12724 Ara Dr., Orlando, FL 32816"
93,TEACHING ACADEMY,TA,"4221 Andromeda Loop N., Orlando, FL 32816"
94,BUSINESS ADMINISTRATION II,BA2,"4336 Scorpius St., Orlando, FL 32816"
95,BURNETT HONORS COLLEGE,BHC,"12778 Aquarius Agora Dr., Orlando, FL 32816"
96,DUKE ENERGY UNIVERSITY WELCOME CENTER,DEWC,"12585 Gemini Blvd. S., Orlando, FL 32816"
97,PARKING GARAGE D,PGD,"12898 Gemini Blvd. N., Orlando, FL 32816"
98,CLASSROOM BUILDING II,CB2,"12650 Gemini Blvd. N., Orlando, FL 32816"
99,PSYCHOLOGY BUILDING,PSY,"4111 Pictor Ln., Orlando, FL 32816"
100,BURNETT HOUSE,BH,"1000 Central Florida Blvd., Orlando, FL 32816"
101,NIKE BUILDING 101,N101,"3740 Libra Dr., Orlando, FL 32816"
102,NIKE BUILDING 102,N102,"3732 Libra Dr., Orlando, FL 32816"
103,NIKE BUILDING 103,N103,"3724 Libra Dr., Orlando, FL 32816"
104,NIKE BUILDING 104,N104,"3756 Libra Dr., Orlando, FL 32816"
105,NIKE BUILDING 105,N105,"3748 Libra Dr., Orlando, FL 32816"
